,TMC,Severity,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
1223382,201.0,3,0.0,51.0,73.0,29.17,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
793253,201.0,2,0.0,26.0,69.0,29.42,7.0,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0
1850986,203.0,3,0.0,71.1,61.0,30.12,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1273739,201.0,2,0.0,73.9,29.0,29.86,10.0,6.9,0,0,1,0,0,0,0,0,0,0,0,1,0
2443495,201.0,3,0.0,86.0,55.0,29.93,9.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2402705,201.0,2,0.0,73.0,68.0,29.95,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,1,0
1861833,201.0,2,1.75,60.1,47.0,29.99,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,1,0
863118,201.0,2,0.0,79.0,47.0,29.27,10.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0
233596,201.0,3,0.01,39.2,39.0,29.86,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1056191,241.0,3,0.0,87.0,37.0,29.36,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510262,201.0,2,0.0,60.1,20.0,30.1,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1
636931,201.0,2,0.0,35.0,39.0,29.95,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
948972,241.0,3,0.0,66.0,56.0,28.76,10.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2366574,201.0,2,0.0,100.0,16.0,29.81,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1134527,201.0,2,0.0,71.0,90.0,29.29,10.0,8.0,0,0,1,0,0,0,0,0,1,0,0,0,0
2409715,201.0,2,0.0,82.9,39.0,30.08,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
665056,201.0,3,0.0,52.0,94.0,29.49,2.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
22690,201.0,2,0.0,75.2,15.0,30.08,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
807656,201.0,2,4.980000019069999,42.0,45.0,25.46,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
168873,201.0,2,0.01,42.1,55.0,29.83,10.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1211260,201.0,2,0.0,61.0,35.0,29.55,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
646531,201.0,2,0.0,24.0,76.0,29.32,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1
829010,201.0,2,0.0,57.0,53.0,29.55,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181339,241.0,3,0.0,66.0,90.0,28.99,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046329,201.0,2,0.0,87.0,57.0,29.12,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1092866,201.0,3,0.0,85.0,56.0,29.9,10.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
179062,201.0,2,0.01,37.0,79.0,30.07,10.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980214,201.0,3,0.0,53.1,38.0,29.81,10.0,12.7,0,0,0,0,1,0,0,0,0,0,0,0,0
1403588,201.0,2,0.0,52.0,69.0,30.22,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
582227,201.0,2,0.0,53.0,35.0,29.18,10.0,16.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1993477,201.0,2,0.0,61.0,11.0,29.96,10.0,17.3,0,0,1,0,0,0,0,0,0,0,0,1,0
1858979,201.0,2,0.0,78.1,22.0,30.21,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1440360,201.0,3,0.0,54.0,80.0,30.0,3.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2351450,201.0,2,0.0,66.0,54.0,29.77,10.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1553960,201.0,3,0.0,55.9,93.0,29.79,6.0,3.5,0,0,1,0,0,0,0,0,0,0,0,0,1
164019,201.0,3,0.0,66.9,84.0,29.62,9.0,13.8,0,0,1,0,0,0,0,0,0,0,0,0,1
455402,201.0,2,0.0,50.0,100.0,30.1,4.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1862240,201.0,3,5.03000020981,59.0,64.0,30.22,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2078473,201.0,2,0.0,48.9,66.0,30.17,10.0,11.5,0,0,1,0,0,0,0,0,0,0,0,1,0
1028082,406.0,2,0.20000000298,91.0,50.0,29.97,10.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677625,201.0,3,2.45000004768,58.1,59.0,29.85,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2427142,201.0,2,0.0,91.0,55.0,30.04,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
764903,201.0,2,0.0,72.0,59.0,30.18,10.0,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0
2221467,201.0,3,0.0,19.0,68.0,30.26,6.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
22572,201.0,2,0.0,63.0,58.0,30.07,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
790093,201.0,2,0.0,59.0,100.0,29.97,4.0,21.0,0,0,1,0,0,0,0,0,1,0,0,1,1
458896,201.0,3,0.00999999977648,68.0,65.0,29.87,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
484064,201.0,2,0.00999999977648,78.8,68.0,30.02,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
518835,201.0,2,0.0,68.0,90.0,29.66,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786457,201.0,2,0.0,77.0,83.0,30.16,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1573362,201.0,2,0.0,82.0,67.0,30.3,10.0,4.6,1,0,1,0,0,0,0,0,0,0,0,0,0
1841228,201.0,2,0.0,84.4,39.0,29.92,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
396389,201.0,3,0.01,47.5,99.0,30.24,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
47787,203.0,2,0.0,75.0,64.0,29.87,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,1,0
1519566,201.0,2,0.0,75.0,82.0,30.01,10.0,9.2,0,0,1,0,0,0,0,0,0,1,0,0,0
720968,222.0,2,0.0,61.0,93.0,29.88,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630106,201.0,2,0.0,82.0,71.0,30.2,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
943653,201.0,2,0.0,85.0,63.0,29.94,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492614,201.0,2,0.0,73.9,16.0,29.96,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1884787,201.0,3,0.0,73.9,59.0,30.14,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1771523,201.0,2,0.0,75.0,82.0,30.07,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0
1679219,241.0,3,3.86999988556,66.9,90.0,29.93,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
2429647,201.0,2,0.0,90.0,65.0,29.96,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
905564,201.0,2,0.0,54.0,90.0,29.37,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
779476,241.0,2,0.0,71.0,47.0,29.26,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895578,201.0,3,0.0,63.0,87.0,30.01,7.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1902036,201.0,3,0.0,59.0,64.0,29.95,10.0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2158361,201.0,2,0.0,48.9,97.0,30.0,3.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1242030,201.0,3,0.0,65.0,65.0,29.85,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1195323,201.0,2,0.0,95.0,28.0,29.62,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421777,201.0,3,0.0,51.1,92.0,30.04,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
148858,201.0,2,0.01,48.2,58.0,30.37,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1
1867733,201.0,3,0.0,81.0,47.0,30.08,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
835288,201.0,2,0.0,58.0,100.0,29.79,3.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,1
676726,201.0,2,0.0,54.0,94.0,29.8,8.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
664639,201.0,2,0.0,19.0,85.0,29.15,0.75,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1982144,201.0,3,0.0,43.0,62.0,30.0,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
218361,241.0,3,0.0,89.6,46.0,29.78,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0
2054640,201.0,3,0.0,48.9,24.0,30.09,10.0,11.5,0,0,0,0,1,0,0,0,0,0,0,0,1
1334177,241.0,3,0.0,16.2,84.0,30.07,7.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2379496,201.0,2,0.0,71.1,84.0,30.11,9.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
751240,201.0,2,0.0,36.0,89.0,29.21,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182657,201.0,2,0.0,62.0,43.0,30.2,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905311,201.0,2,0.0,77.0,76.0,30.0,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0
2226484,201.0,3,0.0,43.0,71.0,30.12,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
882337,201.0,2,0.0,69.0,53.0,29.22,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
913268,241.0,3,0.0,46.0,68.0,28.56,10.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0
425880,201.0,2,0.01,51.1,71.0,30.34,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2032089,201.0,2,0.0,75.9,35.0,30.21,10.0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0
110658,201.0,2,0.0,73.9,48.0,29.85,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,1,0
385702,201.0,3,0.01,57.9,97.0,29.9,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1
2385987,201.0,2,0.0,78.1,62.0,29.9,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1277433,201.0,3,0.0,33.1,96.0,30.09,1.5,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
904823,201.0,2,0.0,37.0,100.0,30.03,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
690334,241.0,3,0.0,70.0,29.0,30.13,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
420259,201.0,3,0.01,43.0,97.0,29.26,1.8,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2134820,201.0,3,0.0,36.0,62.0,30.46,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
571639,201.0,2,0.0,69.0,57.0,29.86,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010920,201.0,2,0.0,88.0,49.0,29.29,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
629121,201.0,2,0.0,45.0,97.0,30.09,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
584631,201.0,3,0.0,56.0,29.0,29.65,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467424,201.0,2,0.0,54.0,40.0,30.03,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
332099,201.0,2,0.0,44.6,53.0,30.27,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
997805,201.0,3,0.0,84.0,72.0,29.91,10.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0
963788,201.0,2,0.0,79.0,82.0,29.28,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
770045,241.0,3,0.0,13.0,74.0,28.82,2.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
587547,201.0,2,0.0,69.0,54.0,29.89,10.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886008,245.0,3,0.0,73.0,84.0,30.13,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1277823,241.0,2,6.42999982834,45.0,60.0,30.16,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1840375,201.0,3,1.82000005245,73.0,90.0,29.78,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
423235,201.0,3,0.01,48.0,86.0,30.03,10.0,9.2,0,0,0,0,1,0,0,0,0,0,0,0,1
985385,241.0,3,0.0,71.0,66.0,29.73,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1830262,201.0,2,0.0,88.0,53.0,29.84,10.0,18.4,0,0,1,0,0,0,0,0,0,0,0,1,0
2402102,201.0,3,0.0,89.1,52.0,29.78,10.0,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0
1289267,201.0,2,0.0,51.1,35.0,30.23,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1001469,201.0,2,0.0,70.0,87.0,29.16,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2331997,201.0,2,0.0,69.1,49.0,30.25,10.0,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0
1466373,201.0,2,0.0,28.0,75.0,30.23,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,1
310576,201.0,2,0.0,62.1,65.0,30.13,10.0,5.8,1,0,1,0,0,0,0,0,1,0,0,1,0
1155672,241.0,2,0.0,57.0,69.0,30.19,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651138,201.0,2,0.0,80.1,64.0,30.01,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,1
134785,201.0,2,0.01,70.0,93.0,29.9,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1990022,241.0,2,0.0,35.6,48.0,29.7,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,1
2471284,201.0,2,0.0,63.0,84.0,30.1,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,1,0
1771044,201.0,3,0.0,91.0,44.0,29.86,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
526145,201.0,3,0.0,65.0,37.0,29.55,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1834196,201.0,3,0.0,93.9,49.0,29.85,10.0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1013133,201.0,2,0.0,90.0,40.0,29.14,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
2104631,201.0,2,0.0,55.0,25.0,30.04,10.0,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0
2154468,201.0,2,0.0,57.9,22.0,30.24,10.0,15.0,0,0,1,0,0,0,0,0,0,0,0,1,0
1036555,201.0,2,0.0,79.0,74.0,29.08,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0
2457706,241.0,3,0.0,62.6,88.0,29.9,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1849913,201.0,2,0.0,91.9,41.0,29.9,10.0,9.2,0,0,1,0,0,0,0,0,0,0,0,1,0
26314,201.0,3,0.0,86.0,30.0,29.8,10.0,12.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2001249,201.0,2,0.0,57.0,28.0,29.98,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1534157,201.0,2,0.0,62.1,38.0,29.98,10.0,3.5,0,0,0,0,1,0,0,0,0,0,0,0,1
1796130,201.0,2,0.0,57.0,93.0,29.99,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2264711,241.0,3,0.0,54.0,49.0,29.95,10.0,9.2,0,0,0,0,1,0,0,0,0,0,0,0,0
1753358,201.0,2,0.0,88.0,61.0,30.14,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1837903,201.0,2,0.0,70.0,55.0,29.91,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1584767,222.0,3,0.0,45.0,58.0,30.4,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1435074,201.0,2,0.0,44.1,31.0,30.08,10.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1662442,201.0,2,0.0,88.0,48.0,30.11,10.0,3.5,0,0,1,0,0,0,0,0,0,0,0,1,0
176158,201.0,2,0.0,73.9,73.0,30.03,10.0,6.9,0,0,1,0,0,0,0,0,0,0,0,0,1
831669,201.0,2,0.0,51.0,92.0,29.54,7.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0
2404496,201.0,2,1.5800000429199998,55.9,72.0,30.01,10.0,8.1,0,0,0,0,1,0,0,0,0,0,0,0,1
1532221,201.0,2,0.0,55.9,80.0,30.17,10.0,5.8,0,0,1,0,0,0,0,0,0,0,0,1,0
1326247,201.0,3,0.0,30.9,69.0,30.12,10.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,1
1808459,201.0,2,0.0,64.0,58.0,29.77,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0
1833552,201.0,3,0.0,93.9,41.0,30.02,10.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0
386448,201.0,2,0.0,78.8,44.0,29.72,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
478721,241.0,2,0.0,87.1,40.0,29.95,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2336160,201.0,2,0.0,57.0,49.0,29.69,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1413000,201.0,3,0.0,16.0,84.0,29.99,8.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,1
444147,201.0,3,0.00999999977648,68.0,78.0,29.73,10.0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,1
14801,201.0,2,0.0,64.9,54.0,30.17,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1145865,201.0,2,0.0,89.0,48.0,29.51,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
348407,201.0,2,0.01,71.6,31.0,30.03,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2466143,343.0,3,0.0,57.7,64.0,29.92,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
27712,201.0,2,0.0,55.4,88.0,29.84,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,1,1
1191273,201.0,2,0.0,86.0,40.0,28.95,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
747687,241.0,2,0.0,29.0,96.0,27.27,4.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1
312565,229.0,3,0.0,57.9,90.0,30.14,10.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,1
2475830,201.0,2,0.0,64.0,75.0,29.82,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2404523,244.0,3,0.0,75.9,45.0,29.68,10.0,19.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2295834,201.0,2,0.0,71.6,83.0,29.97,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
840031,241.0,3,0.0,60.0,64.0,29.83,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
668512,201.0,2,0.0,68.0,35.0,27.24,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2359631,201.0,3,3.24000000954,87.1,34.0,30.03,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
475542,241.0,3,1.63999998569,57.9,72.0,29.82,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1218910,201.0,3,0.460000008345,55.0,55.0,30.09,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
2387001,201.0,3,0.0,87.1,61.0,30.04,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1940633,201.0,2,0.0,91.4,6.0,29.9,50.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
99814,201.0,3,0.0,63.0,72.0,30.06,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
644626,201.0,2,0.0,32.0,79.0,30.07,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1585817,201.0,2,0.0,50.0,43.0,30.12,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
738588,201.0,2,0.0,29.0,75.0,29.5,10.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,1
505931,201.0,2,0.0,73.9,71.0,30.06,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1510404,201.0,2,0.0,69.1,61.0,29.99,7.0,4.6,0,0,0,0,0,0,0,0,0,0,0,1,0
1655699,241.0,2,0.0,84.9,17.0,29.84,10.0,17.3,0,0,1,0,0,0,0,0,0,0,0,1,0
2079122,201.0,2,0.0,48.9,86.0,29.95,5.0,4.6,0,0,0,0,0,0,0,0,0,0,0,1,0
1058124,201.0,2,0.0,64.0,68.0,29.93,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
850439,241.0,2,0.0,82.0,71.0,30.01,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
597858,201.0,2,0.0,49.0,90.0,29.44,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1772463,201.0,2,0.0,87.8,62.0,30.07,5.0,4.6,0,0,1,0,0,0,0,0,0,0,0,1,0
1092079,201.0,2,0.0,84.0,27.0,28.59,10.0,67.0,0,0,1,0,0,0,0,0,0,0,0,1,0
1283070,201.0,2,0.0,37.6,100.0,29.73,5.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
224505,201.0,3,0.01,66.9,37.0,29.91,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1
995247,241.0,3,0.0,70.0,71.0,29.79,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676804,201.0,2,0.0,60.1,75.0,30.0,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
657388,201.0,2,0.0,69.0,78.0,29.92,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
578168,201.0,2,0.0,75.0,82.0,30.05,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
